OFFICIAL_CODE_STATE,STATE_CODE,STATE_NAME,COUNTY_NAME,NAME_WITH_DESC
1,AL,Alabama,Baldwin,Baldwin County
1,AL,Alabama,Hale,Hale County
1,AL,Alabama,Sumter,Sumter County
1,AL,Alabama,Talladega,Talladega County
1,AL,Alabama,Mobile,Mobile County
1,AL,Alabama,Winston,Winston County
1,AL,Alabama,Covington,Covington County
1,AL,Alabama,Dallas,Dallas County
1,AL,Alabama,Perry,Perry County
1,AL,Alabama,Clarke,Clarke County
1,AL,Alabama,Coffee,Coffee County
1,AL,Alabama,Geneva,Geneva County
1,AL,Alabama,Lamar,Lamar County
1,AL,Alabama,Jackson,Jackson County
1,AL,Alabama,Cherokee,Cherokee County
1,AL,Alabama,Marshall,Marshall County
1,AL,Alabama,Wilcox,Wilcox County
1,AL,Alabama,Clay,Clay County
1,AL,Alabama,Escambia,Escambia County
1,AL,Alabama,Franklin,Franklin County
1,AL,Alabama,Lauderdale,Lauderdale County
1,AL,Alabama,Monroe,Monroe County
1,AL,Alabama,Conecuh,Conecuh County
1,AL,Alabama,Crenshaw,Crenshaw County
1,AL,Alabama,Houston,Houston County
1,AL,Alabama,Autauga,Autauga County
1,AL,Alabama,Butler,Butler County
1,AL,Alabama,Greene,Greene County
1,AL,Alabama,Tuscaloosa,Tuscaloosa County
1,AL,Alabama,Pike,Pike County
1,AL,Alabama,St. Clair,St. Clair County
1,AL,Alabama,Henry,Henry County
1,AL,Alabama,Bullock,Bullock County
1,AL,Alabama,Calhoun,Calhoun County
1,AL,Alabama,Limestone,Limestone County
1,AL,Alabama,Cleburne,Cleburne County
1,AL,Alabama,Colbert,Colbert County
1,AL,Alabama,Dale,Dale County
1,AL,Alabama,Randolph,Randolph County
1,AL,Alabama,Blount,Blount County
1,AL,Alabama,Tallapoosa,Tallapoosa County
1,AL,Alabama,Walker,Walker County
1,AL,Alabama,Jefferson,Jefferson County
1,AL,Alabama,Madison,Madison County
1,AL,Alabama,Barbour,Barbour County
1,AL,Alabama,Coosa,Coosa County
1,AL,Alabama,Cullman,Cullman County
1,AL,Alabama,Lee,Lee County
1,AL,Alabama,DeKalb,DeKalb County
1,AL,Alabama,Pickens,Pickens County
1,AL,Alabama,Choctaw,Choctaw County
1,AL,Alabama,Russell,Russell County
1,AL,Alabama,Bibb,Bibb County
1,AL,Alabama,Chambers,Chambers County
1,AL,Alabama,Montgomery,Montgomery County
1,AL,Alabama,Shelby,Shelby County
1,AL,Alabama,Washington,Washington County
1,AL,Alabama,Macon,Macon County
1,AL,Alabama,Marion,Marion County
1,AL,Alabama,Chilton,Chilton County
1,AL,Alabama,Elmore,Elmore County
1,AL,Alabama,Etowah,Etowah County
1,AL,Alabama,Morgan,Morgan County
1,AL,Alabama,Fayette,Fayette County
1,AL,Alabama,Lawrence,Lawrence County
1,AL,Alabama,Lowndes,Lowndes County
1,AL,Alabama,Marengo,Marengo County
2,AK,Alaska,Skagway,Skagway Municipality
2,AK,Alaska,Southeast Fairbanks,Southeast Fairbanks Census Area
2,AK,Alaska,Aleutians West,Aleutians West Census Area
2,AK,Alaska,Fairbanks North Star,Fairbanks North Star Borough
2,AK,Alaska,Bethel,Bethel Census Area
2,AK,Alaska,Chugach,Chugach Census Area
2,AK,Alaska,Hoonah-Angoon,Hoonah-Angoon Census Area
2,AK,Alaska,Haines,Haines Borough
2,AK,Alaska,Kodiak Island,Kodiak Island Borough
2,AK,Alaska,Northwest Arctic,Northwest Arctic Borough
2,AK,Alaska,Kusilvak,Kusilvak Census Area
2,AK,Alaska,Wrangell,Wrangell City and Borough
2,AK,Alaska,Sitka,Sitka City and Borough
2,AK,Alaska,Ketchikan Gateway,Ketchikan Gateway Borough
2,AK,Alaska,Petersburg,Petersburg Borough
2,AK,Alaska,Prince of Wales-Hyder,Prince of Wales-Hyder Census Area
2,AK,Alaska,Bristol Bay,Bristol Bay Borough
2,AK,Alaska,Dillingham,Dillingham Census Area
2,AK,Alaska,Aleutians East,Aleutians East Borough
2,AK,Alaska,Yakutat,Yakutat City and Borough
2,AK,Alaska,Matanuska-Susitna,Matanuska-Susitna Borough
2,AK,Alaska,Denali,Denali Borough
2,AK,Alaska,Nome,Nome Census Area
2,AK,Alaska,Anchorage,Anchorage Municipality
2,AK,Alaska,Juneau,Juneau City and Borough
2,AK,Alaska,North Slope,North Slope Borough
2,AK,Alaska,Copper River,Copper River Census Area
2,AK,Alaska,Yukon-Koyukuk,Yukon-Koyukuk Census Area
2,AK,Alaska,Kenai Peninsula,Kenai Peninsula Borough
2,AK,Alaska,Lake and Peninsula,Lake and Peninsula Borough
4,AZ,Arizona,Navajo,Navajo County
4,AZ,Arizona,Yavapai,Yavapai County
4,AZ,Arizona,Coconino,Coconino County
4,AZ,Arizona,Apache,Apache County
4,AZ,Arizona,Graham,Graham County
4,AZ,Arizona,Mohave,Mohave County
4,AZ,Arizona,Pinal,Pinal County
4,AZ,Arizona,La Paz,La Paz County
4,AZ,Arizona,Yuma,Yuma County
4,AZ,Arizona,Gila,Gila County
4,AZ,Arizona,Greenlee,Greenlee County
4,AZ,Arizona,Cochise,Cochise County
4,AZ,Arizona,Maricopa,Maricopa County
